N_u,N_s,N_s_ideal,e_r_ 1,e_r_ 2,e_r_ 3,e_r_ 4,e_r_ 5,e_r_ 6,e_r_ 7,e_r_ 8,e_r_ 9,e_r_10,e_r_11,e_r_12,e_r_13,e_r_14,e_r_15,e_r_16,e_r_17,e_r_18,e_r_19,e_r_20,e_r_21,e_r_22,e_r_23,e_r_24,e_r_25,e_r_26,e_r_27,e_r_28,e_r_29,e_r_30,e_r_31,e_r_32,e_r_33,e_r_34,e_r_35,e_r_36,e_r_37,e_r_38,e_r_39,e_r_40,e_r_41,e_r_42,e_r_43,e_r_44,e_r_45,e_r_46,e_r_47,e_r_48,e_r_49,e_r_50,e_r_51,e_r_52,e_r_53,e_r_54,e_r_55,e_r_56,e_r_57,e_r_58,e_r_59,e_r_60,e_r_61,e_r_62,e_r_63,e_r_64,e_r_65,e_r_66,e_r_67,e_r_68,e_r_69,e_r_70,e_r_71,e_r_72,e_r_73,e_r_74,e_r_75,e_r_76,e_r_77,e_r_78,tand_ 1,tand_ 2,tand_ 3,tand_ 4,tand_ 5,tand_ 6,tand_ 7,tand_ 8,tand_ 9,tand_10,tand_11,tand_12,tand_13,tand_14,tand_15,tand_16,tand_17,tand_18,tand_19,tand_20,tand_21,tand_22,tand_23,tand_24,tand_25,tand_26,tand_27,tand_28,tand_29,tand_30,tand_31,tand_32,tand_33,tand_34,tand_35,tand_36,tand_37,tand_38,tand_39,tand_40,tand_41,tand_42,tand_43,tand_44,tand_45,tand_46,tand_47,tand_48,tand_49,tand_50,tand_51,tand_52,tand_53,tand_54,tand_55,tand_56,tand_57,tand_58,tand_59,tand_60,tand_61,tand_62,tand_63,tand_64,tand_65,tand_66,tand_67,tand_68,tand_69,tand_70,tand_71,tand_72,tand_73,tand_74,tand_75,tand_76,tand_77,tand_78
10,25,19,2.05404464820052,2.05465582940808,2.05512606328968,2.05551258750205,2.05584925735272,2.05615287832952,2.05642889294264,2.05667653951182,2.05689308790909,2.05707679622319,2.05722845859411,2.05735166886586,2.05745212537627,2.05753641077181,2.05761068804208,2.05767967231838,2.05774609580973,2.05781071892187,2.05787279380569,2.05793078867021,2.0579831478118,2.05802889100332,2.05806792924236,2.05810106629878,2.05812974095597,2.05815562306605,2.0581801969641,2.05820444862373,2.05822872777856,2.05825279861366,2.05827603939611,2.05829771615992,2.05831724536153,2.05833437472319,2.05834924321755,2.05836231949067,2.05837425174475,2.05838568260278,2.05839708573063,2.05840866810922,2.05842035822392,2.05843187383577,2.05844284117344,2.05845292592155,2.05846193736753,2.05846987887888,2.05847693603585,2.05848341245096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00024308796002081,0.000243376770367236,0.000243515540003703,0.000243534032561555,0.000243468715686288,0.000243361474585215,0.000243252403071163,0.000243171954736448,0.000243135642418099,0.000243142812524284,0.000243179556458405,0.000243224638132923,0.00024325657755258,0.00024325987319596,0.000243228776471478,0.000243167876592817,0.000243089717099792,0.000243010448636204,0.000242944934612511,0.000242902714824731,0.000242885857132805,0.000242889118563242,0.000242902163295824,0.000242913026921684,0.000242911726300715,0.000242892965110236,0.000242857239193023,0.000242810170576805,0.000242760421266878,0.000242716908566747,0.000242686177405174,0.000242670670971932,0.000242668329752109,0.000242673537354507,0.000242679039321138,0.000242678200998828,0.000242666915031442,0.000242644622863284,0.000242614215977059,0.000242580928926192,0.000242550621240566,0.000242527993718943,0.000242515266184308,0.000242511675645273,0.000242513891675012,0.00024251716927387,0.000242516850717824,0.000242509746995102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,27,21,2.05373193681568,2.05438355310232,2.05487919791437,2.05528382123383,2.0556345634682,2.05594971610507,2.05623538656449,2.05649110911935,2.05671431270386,2.05690339446619,2.05705931599874,2.05718587382936,2.05728898784255,2.05737545502484,2.05745161989099,2.05752232832441,2.05759038613021,2.05765657572845,2.05772013443946,2.05777949790506,2.05783307842731,2.05787987777319,2.05791980927667,2.05795369859361,2.0579830196264,2.05800948139644,2.05803460232911,2.0580593907854,2.0580842045024,2.0581088027249,2.05813255043185,2.05815469808173,2.05817464994342,2.05819214874943,2.05820733685851,2.0582206932743,2.05823288028131,2.05824455436568,2.05825619939096,2.05826802683536,2.05827996376911,2.05829172208652,2.05830292022487,2.05831321690772,2.05832241746797,2.05833052537165,2.05833773009693,2.05834434161949,2.05835069585871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000241818201981523,0.000242210772668894,0.000242413377073838,0.00024247537267618,0.00024244243056949,0.000242361237129078,0.000242274400770422,0.000242213565674712,0.000242194665437441,0.00024221707166352,0.000242266769271837,0.000242322460012759,0.000242362745757335,0.000242372384087093,0.0002423460398454,0.000242288804704739,0.000242213725308023,0.000242137368328316,0.00024207486190258,0.000242035833852816,0.000242022280501163,0.000242028779566822,0.000242044778697086,0.000242058130105157,0.000242058753528116,0.000242041366060783,0.000242006579375611,0.00024196019807909,0.000241911082164116,0.000241868310576509,0.000241838515634866,0.000241824138980669,0.00024182304135192,0.000241829479699853,0.000241836067532458,0.000241836072392675,0.000241825350125614,0.0002418033737014,0.000241773121722147,0.000241739943619941,0.000241709807605669,0.000241687487079451,0.000241675220770891,0.000241672209875464,0.000241675048183831,0.000241678900236422,0.000241679031044483,0.000241672209747362,0.000241657576966095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,29,22,2.05338298097,2.05409540942252,2.05462538338206,2.05505298510491,2.05542084677265,2.05574958506426,2.05604635034013,2.05631117118416,2.05654175626841,2.05673672473391,2.05689726702559,2.05702742906199,2.05713338748898,2.05722217921746,2.05730034769209,2.05737288020675,2.0574426616327,2.05751049833572,2.05757561278082,2.05763640737843,2.05769126203774,2.05773916083974,2.05778002055433,2.0578146903934,2.05784468127529,2.05787174315765,2.05789742991427,2.05792277309827,2.05794813870597,2.05797328087793,2.05799755092174,2.05802018332544,2.05804056992463,2.05805844844768,2.05807396485537,2.05808760888768,2.05810005734915,2.05811198097893,2.0581238741001,2.05813595278648,2.05814814264105,2.05816014954005,2.05817158394888,2.05818209748682,2.05819149147142,2.05819976950345,2.05820712507653,2.05821387468651,2.05822036141745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0002404809500176,0.000241028165522271,0.000241316645702113,0.000241434139380664,0.000241441159794614,0.000241391337707128,0.000241330718765283,0.000241292568031113,0.000241293461531226,0.000241332932095735,0.000241396962052454,0.000241464283209204,0.000241513664819648,0.000241530201001138,0.00024150903617997,0.00024145581640181,0.000241384127429773,0.000241310972325905,0.000241251750994734,0.000241216177035353,0.000241206168448356,0.000241216116664445,0.000241235248658283,0.000241251233342877,0.000241253897495315,0.000241237978634031,0.00024120421232525,0.000241158593072454,0.00024111018402215,0.000241068228072516,0.000241039444509165,0.000241026271071484,0.000241026485654964,0.000241034215821111,0.000241041941562941,0.00024104283271569,0.000241032709864322,0.000241011079980461,0.000240981011481642,0.000240947970876535,0.0002409180363163,0.000240896053889987,0.000240884280359447,0.000240881879667206,0.000240885368339522,0.000240889819398938,0.000240890420246467,0.000240883898597027,0.000240869400041647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,31,24,2.05294833386147,2.05377565552637,2.05435753618935,2.0548163514765,2.05520597947731,2.05555121212435,2.05586099633074,2.05613622110316,2.05637508116991,2.05657654844812,2.0567421317656,2.05687618998448,2.05698520174611,2.05707647526219,2.05715677349803,2.05723123744991,2.05730283730293,2.05737240567252,2.05743915037914,2.0575014401657,2.05755762240319,2.05760666406376,2.05764848667657,2.05768396484156,2.05771464848184,2.05774233029097,2.05776860094613,2.05779451598374,2.05782044991172,2.05784615161962,2.05787095839734,2.05789408841506,2.05791492087333,2.05793318851049,2.05794904111155,2.05796297951655,2.0579756954585,2.057987874287,2.05800002102138,2.05801235641886,2.05802480456916,2.05803706519858,2.05804874064589,2.0580594753063,2.05806906643535,2.05807751780579,2.05808502703277,2.05809191727412,2.05809853880712,2.05810517201447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000238953408206504,0.000239785634506968,0.000240202371594955,0.000240395438767664,0.000240454067107052,0.000240443288912996,0.000240414348774127,0.000240402926601161,0.000240426646259986,0.000240485444675268,0.000240565475006132,0.000240645639762274,0.000240704995609641,0.000240729074917821,0.000240713584186887,0.000240664785868711,0.000240596846249308,0.000240527227208872,0.000240471607569464,0.000240439783800711,0.00024043358826546,0.000240447219207606,0.000240469679579793,0.000240488456370969,0.000240493288991194,0.000240478943639542,0.000240446288651389,0.000240401516018216,0.000240353897025921,0.000240312840370896,0.000240285151392215,0.000240273261261732,0.000240274861870512,0.000240283948948249,0.000240292867948492,0.000240294691624543,0.00024028520725552,0.000240263958501803,0.000240234106234397,0.000240201236005909,0.000240171536786064,0.000240149927127342,0.000240138680744618,0.000240136922880473,0.000240141091496471,0.000240146167345161,0.000240147260201322,0.000240141057029407,0.000240126709608953,0.000240105933038858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,33,26,2.05151067700499,2.05337834700979,2.05406042707247,2.05456700250713,2.05498630143012,2.05535247021666,2.05567799407306,2.05596536515737,2.05621364005842,2.05642235956892,2.05659348650403,2.05673178204774,2.05684408670631,2.05693801956668,2.05702058814482,2.05709710170484,2.05717062308422,2.05724201397001,2.05731046805174,2.05737432023497,2.05743188549475,2.0574821145691,2.05752493534136,2.05756124984543,2.05759264914078,2.05762097053364,2.05764784288946,2.05767434652541,2.05770086471686,2.05772714096947,2.05775249823743,2.05777613806309,2.05779742684761,2.0578160923804,2.05783228850351,2.05784652751425,2.05785951646403,2.05787195564767,2.05788436099925,2.05789695803946,2.05790966930347,2.0579221882511,2.05793410895999,2.05794506850051,2.05795486003136,2.05796348753606,2.05797115284885,2.05797818591614,2.0579849443295,2.05799171431533,2.05799864190238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000235908772215248,0.000238374628923115,0.00023902888876154,0.000239336866785466,0.00023946682186355,0.000239506892196948,0.000239517465462709,0.000239538269225945,0.000239588765638715,0.000239669742439914,0.000239767817506124,0.000239862281198318,0.000239932647956194,0.000239965023367937,0.000239955779929006,0.000239911871540809,0.000239848093448058,0.000239782391786712,0.000239730732085006,0.000239702990406011,0.000239700905761134,0.000239718476427159,0.00023974447874687,0.000239766220395157,0.00023977336043287,0.000239760703229292,0.000239729259644482,0.000239685427158746,0.00023963869013956,0.000239598624641857,0.000239572120764533,0.000239561600140955,0.000239564665468506,0.000239575178363812,0.000239585349086913,0.000239588154351861,0.000239579350450797,0.000239558520599175,0.00023952892076343,0.000239496257328242,0.000239466830706562,0.00023944563142709,0.000239434948920974,0.00023943386827113,0.000239438747708051,0.000239444475194142,0.000239446083118585,0.000239440218569607,0.000239426040726794,0.00023940531472775,0.000239381724481849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,35,28,2.05103834932027,2.05201223683695,2.0536886290893,2.05429027408998,2.05475527820645,2.05514993073132,2.05549532901279,2.05579729702743,2.05605650142414,2.05627343209567,2.05645072133787,2.05659366334642,2.05670954239758,2.05680633985514,2.05689133905288,2.05697003524676,2.05704559278391,2.05711890596805,2.0571891552797,2.05725464195188,2.05731364905283,2.05736511231937,2.0574089679182,2.0574461476387,2.05747828600718,2.0575072669428,2.05753475894766,2.05756186794301,2.05758898623786,2.05761585183272,2.05764177304865,2.05766593451976,2.05768768971528,2.05770676154326,2.05772330815041,2.0577378536502,2.05775112079347,2.05776382514136,2.05777649374912,2.05778935697564,2.05780233576395,2.05781511720228,2.05782728698855,2.05783847478252,2.05784846962102,2.05785727573917,2.05786509928211,2.0578722771001,2.05787917420737,2.05788608274873,2.05789315158684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000234437229210018,0.000235261492345369,0.000237687260483823,0.00023821676103385,0.00023845749352204,0.000238568509135786,0.000238630607593341,0.000238691460739699,0.000238774052511822,0.0002388808858323,0.000238999558187359,0.000239110092154695,0.000239192707264786,0.000239234264808612,0.000239231936342993,0.000239193459443387,0.000239134316017228,0.000239072966077256,0.000239025670890528,0.000239002382776141,0.000239004739444128,0.000239026532626342,0.000239056310276911,0.00023908120464187,0.000239090802875351,0.000239079958354612,0.000239049835178123,0.000239007044855901,0.000238961289914226,0.000238922315141438,0.000238897093798283,0.000238888034787743,0.000238892648310602,0.000238904659729343,0.000238916143723518,0.000238919982352334,0.000238911903545427,0.000238891533129666,0.00023886222484188,0.000238829807583619,0.000238800693649123,0.000238779944863847,0.000238769865009869,0.000238769497530803,0.000238775119851901,0.000238781526799016,0.000238783673812297,0.000238778169135861,0.000238764180635954,0.000238743524653675,0.000238719961852022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,37,30,2.05074182378469,2.05158907424737,2.05246821181088,2.053942211258,2.05449932481907,2.05493769306882,2.05530992567643,2.05563017960949,2.05590242714731,2.05612883636487,2.05631307338821,2.05646116581366,2.05658095809979,2.05668086283495,2.05676847936334,2.05684951109149,2.05692723486013,2.05700258215643,2.05707472174602,2.05714192180058,2.05720243441205,2.05725518199547,2.0573001113474,2.05733818668509,2.05737108859522,2.05740074978376,2.05742887993626,2.05745661144718,2.05748434594317,2.05751181580813,2.0575383144471,2.05756300932816,2.05758524088401,2.0576047272354,2.05762163110081,2.05763648877806,2.05765003909846,2.05766301320489,2.05767594947375,2.0576890831737,2.0577023336207,2.05771538143473,2.05772780382707,2.05773922297285,2.05774942377022,2.05775841074923,2.05776639445422,2.05777371874685,2.05778075616304,2.05778780483497,2.05779501667328,2.05780237456285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000233318591797651,0.000233894389129975,0.000234609200505275,0.000236921886320294,0.000237384641337207,0.000237607127145677,0.000237741113571237,0.00023785390187929,0.00023797607959556,0.000238113672458739,0.000238256208033808,0.000238385009584188,0.000238481372628097,0.000238533167483737,0.000238538538898581,0.00023850612365818,0.000238452160425509,0.000238395658446111,0.000238353185756915,0.00023833476791352,0.000238341933358242,0.000238368261062185,0.000238402069755621,0.000238430321534275,0.000238442541666039,0.00023843364480609,0.000238404960145274,0.000238363322435866,0.000238318657696764,0.000238280880767876,0.000238257046252784,0.000238249546884904,0.000238255796988746,0.000238269383564465,0.000238282245554626,0.000238287172024075,0.000238279865437078,0.000238259997478282,0.000238231022402963,0.000238198893268401,0.00023817013456537,0.000238149878593427,0.000238140442015531,0.000238140825128268,0.00023814722353682,0.000238154338708299,0.000238157049718028,0.000238151927123668,0.00023813814883081,0.000238117583539567,0.000238094069186379,0.000238072149764423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,39,31,2.05052949337498,2.05131816530092,2.0520907736768,2.05291410958365,2.05417846614188,2.05470382921623,2.05511669142255,2.05546134363133,2.05574977632424,2.05598741683799,2.0561796343027,2.05633351594267,2.0564576396169,2.05656094510031,2.0566514010675,2.05673494758741,2.05681498800589,2.05689249703075,2.05696663403489,2.05703563536378,2.05709772365012,2.05715181024016,2.05719785543548,2.05723685899855,2.05727055050835,2.05730091386149,2.05732970160968,2.05735807355665,2.05738644095632,2.05741453047357,2.05744162032395,2.05746686056921,2.05748957852596,2.05750948764948,2.05752675552127,2.05754193100856,2.05755576941251,2.0575690177749,2.0575822259917,2.05759563431187,2.05760916039117,2.05762247829024,2.05763515663525,2.0576468100515,2.05765721928848,2.05766638921751,2.05767453486911,2.05768200721908,2.05768918641795,2.05769637664886,2.05770373289622,2.05771123772316,2.05771872992204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000232395518482891,0.000232848726925156,0.000233351106072243,0.000234003937298253,0.000236134000874239,0.000236582974223429,0.000236829567812926,0.000237014183491024,0.000237187178189942,0.000237362355307074,0.000237533066432156,0.000237682927443235,0.000237794890517909,0.000237858198845601,0.00023787220454958,0.000237846591735042,0.000237798442809943,0.000237747359494386,0.00023771023064248,0.000237697152861496,0.000237709537671448,0.000237740745700298,0.000237778866814592,0.000237810699870909,0.000237825720055919,0.000237818917230292,0.000237791798824514,0.000237751432899282,0.000237707974690406,0.000237671510435809,0.000237649174088858,0.000237643338583777,0.000237651318826578,0.000237666561398374,0.000237680869478966,0.000237686941056117,0.000237680456275628,0.000237661136129249,0.000237632538244742,0.00023760074147712,0.000237572382759,0.000237552663938364,0.000237543913001206,0.000237545085554107,0.000237552294397148,0.000237560147501134,0.000237563448271185,0.000237558730835948,0.000237545184553905,0.000237524731646743,0.000237501287947089,0.000237479475997125,0.000237463204287883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,41,33,2.05036779498753,2.05112146893377,2.05184280807909,2.05257066825865,2.05335570550203,2.05441462695396,2.05490571192019,2.05528654964487,2.05559627144162,2.05584771302688,2.05604932688628,2.05620983437665,2.05633881965787,2.05644588927699,2.056539454587,2.056625730204,2.05670826440994,2.05678808333915,2.05686434052671,2.05693524263116,2.05699898515032,2.05705447137133,2.05710167865536,2.0571416459927,2.05717615531664,2.05720724441309,2.05723671056057,2.05726574199795,2.05729475995055,2.05732348527105,2.05735118071763,2.05737697871905,2.05740019342002,2.05742053376185,2.05743817251005,2.05745367151046,2.05746780293978,2.05748133006444,2.05749481450145,2.05750850155129,2.05752230717759,2.05753589879379,2.05754883634788,2.05756072685666,2.05757134691676,2.05758070179055,2.05758901108225,2.05759663298255,2.05760395534594,2.05761128846691,2.05761879042757,2.05762644345749,2.05763408322565,2.05764146732009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000231605719298585,0.00023198011003772,0.00023237656802183,0.000232844261019342,0.000233489571306613,0.000235387792725022,0.000235859713959048,0.000236155078563848,0.000236397333995738,0.000236620170648859,0.000236824989044065,0.000236999565550655,0.000237129470473964,0.000237205865404828,0.000237229635625268,0.000237211707746769,0.000237170118560456,0.000237125116520717,0.000237093929832074,0.000237086725572668,0.000237104791513907,0.000237141265432153,0.000237184010297817,0.000237219670648881,0.000237237685515328,0.00023723313582514,0.000237207721932501,0.000237168756304128,0.000237126629642341,0.000237091601050561,0.000237070881711925,0.000237066820908816,0.000237076630468813,0.000237093614448732,0.00023710944037714,0.000237116717293622,0.00023711110642007,0.000237092381724576,0.000237064207191151,0.000237032789175243,0.000237004877265296,0.00023698574185948,0.000236977720633816,0.000236979722918385,0.000236987777729603,0.000236996399456978,0.000237000316610205,0.00023699602822753,0.000236982736592036,0.000236962418629849,0.000236939068674464,0.000236917387759794,0.000236901340464312,0.000236893014435517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,43,35,2.05023996339998,2.05097006400767,2.05166009771785,2.05233979992084,2.05302985093539,2.05378160859497,2.05465057375913,2.05509791839264,2.05543844868528,2.0557077773951,2.05592083680512,2.05608911004314,2.05622365060545,2.05633494628187,2.05643195648995,2.0565212226528,2.05660646309223,2.05668876687152,2.05676728713064,2.05684020432996,2.05690569030125,2.05696264430424,2.05701106520119,2.05705203561545,2.05708739374054,2.05711923432307,2.05714940145517,2.05717911295246,2.05720880040072,2.05723817875762,2.05726649505924,2.05729286388598,2.05731658617861,2.05733736654899,2.05735538330319,2.05737121170678,2.05738564124177,2.05739945173995,2.05741321674825,2.05742718669224,2.05744127581206,2.05745514478734,2.05746834479777,2.05748047519745,2.05749130843084,2.05750085020525,2.05750932478834,2.05751709768669,2.05752456454715,2.05753204183434,2.05753969075119,2.05754749318536,2.0575552816183,2.05756280914938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0002309153775702,0.000231232547831292,0.000231560222739848,0.000231931953998388,0.000232404239213378,0.000233089539104244,0.000234736445900095,0.000235245281465887,0.000235591784006385,0.000235878458903658,0.000236126002604614,0.000236330270686559,0.000236481166124111,0.000236572632718502,0.000236607561495356,0.000236598387571399,0.000236564246964422,0.000236526104920869,0.000236501554269717,0.000236500834798813,0.000236525105369667,0.000236567278180391,0.000236614993519264,0.000236654753101763,0.000236675976322232,0.000236673853358429,0.000236650294006199,0.000236612867476361,0.000236572206859326,0.000236538745793202,0.00023651977047517,0.000236517602483144,0.000236529346716275,0.000236548162580087,0.000236565582152927,0.00023657412785312,0.000236569445632196,0.000236551366331416,0.000236523663463189,0.000236492672663989,0.000236465256403355,0.000236446752583944,0.000236439506872197,0.000236442380683941,0.000236451318258461,0.000236460740346483,0.000236465301394569,0.000236461466756481,0.000236448453168694,0.000236428293477596,0.00023640506112533,0.00023638353555527,0.000236367736824144,0.000236359770771688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
